matchId,season,date,round,phase,home,away,venue,vbucket,predMargin,absPred,closeBand,weTipped,actualMargin,absActual,draw,miss,class,fieldN,fieldShareCorrect,fieldHomeShare,fieldFav,weAgainstField,ourProbWinner,fieldProbWinner,restHome,restAway,restDiff,postByeHome,postByeAway,weather,wet,gameid
1406,2023,2023-03-17,Round 1,early,Geelong,Collingwood,MCG,shared_derby,16.49,16.49,12-24,home,-22,22,False,True,consensus,26,0.0,1.0,home,False,0.287,0.296,,,,False,False,MOSTLY_SUNNY,False,34261
1408,2023,2023-03-18,Round 1,early,Port Adelaide,Brisbane Lions,Adelaide Oval,true_home_interstate,-3.5,3.5,<6,away,54,54,False,True,tipper_specific,26,0.885,0.885,home,True,0.447,0.579,,,,False,False,MOSTLY_SUNNY,False,34263
1412,2023,2023-03-19,Round 1,early,Hawthorn,Essendon,MCG,shared_derby,5.62,5.62,<6,home,-59,59,False,True,grey,26,0.385,0.615,home,False,0.418,0.491,,,,False,False,RAIN,True,34267
1413,2023,2023-03-19,Round 1,early,St Kilda,Fremantle,Marvel Stadium,shared_interstate,-6.98,6.98,6-12,away,15,15,False,True,grey,26,0.462,0.423,away,False,0.399,0.466,,,,False,False,RAIN,True,34268
1414,2023,2023-03-23,Round 2,early,Carlton,Geelong,MCG,shared_derby,-10.75,10.75,6-12,away,8,8,False,True,consensus,26,0.0,0.0,away,False,0.352,0.352,7,6,1,False,False,RAIN,True,34269
1418,2023,2023-03-25,Round 2,early,Western Bulldogs,St Kilda,Marvel Stadium,shared_derby,5.38,5.38,<6,home,-51,51,False,True,consensus,26,0.154,0.846,home,False,0.421,0.434,7,6,1,False,False,MOSTLY_SUNNY,False,34273
1419,2023,2023-03-25,Round 2,early,Fremantle,North Melbourne,Perth Stadium,true_home_interstate,37.08,37.08,24+,home,-1,1,False,True,consensus,26,0.0,1.0,home,False,0.123,0.145,6,7,-1,False,False,MOSTLY_SUNNY,False,34274
1422,2023,2023-03-26,Round 2,early,West Coast,GWS Giants,Perth Stadium,true_home_interstate,-6.94,6.94,6-12,away,19,19,False,True,consensus,26,0.077,0.077,away,False,0.4,0.421,8,7,1,False,False,MOSTLY_SUNNY,False,34277
1423,2023,2023-03-30,Round 3,early,Western Bulldogs,Brisbane Lions,Marvel Stadium,shared_interstate,-4.55,4.55,<6,away,14,14,False,True,tipper_specific,26,0.654,0.615,home,True,0.432,0.52,5,6,-1,False,False,RAIN,True,34278
1428,2023,2023-04-01,Round 3,early,Port Adelaide,Adelaide,Adelaide Oval,true_home_same_state,21.54,21.54,12-24,home,-31,31,False,True,consensus,26,0.0,1.0,home,False,0.238,0.273,7,7,0,False,False,MOSTLY_SUNNY,False,34283
