matchId,season,date,home,away,venue,p_v3,pred_v3,p_w,pred_w,actual,wheelo_right
1202,2022,2022-03-19,GWS Giants,Sydney,Accor Stadium,0.5211,1.37,0.4740,-2.10,-20,True
1208,2022,2022-03-25,Sydney,Geelong,SCG,0.5312,2.04,0.4280,-5.80,30,False
1215,2022,2022-03-27,Fremantle,St Kilda,Perth Stadium,0.4799,-1.30,0.5540,4.30,-10,False
1222,2022,2022-04-03,Carlton,Hawthorn,MCG,0.5520,3.46,0.4500,-4.00,1,False
1240,2022,2022-04-17,Carlton,Port Adelaide,MCG,0.4669,-2.17,0.5670,5.40,3,True
1251,2022,2022-04-25,Essendon,Collingwood,MCG,0.5906,6.23,0.3910,-8.80,-11,True
1254,2022,2022-04-30,Adelaide,GWS Giants,Adelaide Oval,0.5594,3.98,0.4960,-0.30,-59,True
1266,2022,2022-05-07,Essendon,Hawthorn,Marvel Stadium,0.5431,2.84,0.4730,-2.20,27,False
1273,2022,2022-05-14,St Kilda,Geelong,Marvel Stadium,0.5230,1.50,0.4990,-0.10,10,False
1304,2022,2022-06-10,Essendon,Carlton,MCG,0.5074,0.47,0.3790,-9.90,-26,True
1318,2022,2022-06-25,Carlton,Fremantle,Marvel Stadium,0.4794,-1.34,0.5060,0.50,31,True
1328,2022,2022-07-02,Gold Coast,Collingwood,Carrara,0.4669,-2.17,0.5620,5.00,-5,False
1336,2022,2022-07-09,Gold Coast,Richmond,Carrara,0.4740,-1.69,0.5490,4.00,2,True
1367,2022,2022-07-31,Richmond,Brisbane Lions,MCG,0.4036,-6.66,0.5670,5.40,7,True
1394,2022,2022-08-21,Carlton,Collingwood,MCG,0.3713,-9.16,0.5140,1.10,-1,False
1396,2022,2022-09-01,Brisbane Lions,Richmond,Gabba,0.5734,4.98,0.4980,-0.20,2,False
1407,2023,2023-03-18,North Melbourne,West Coast,Marvel Stadium,0.5276,1.80,0.4860,-1.20,5,False
1408,2023,2023-03-18,Port Adelaide,Brisbane Lions,Adelaide Oval,0.4474,-3.50,0.6100,9.10,54,True
1409,2023,2023-03-18,Melbourne,Western Bulldogs,MCG,0.6080,7.54,0.4930,-0.50,50,False
1412,2023,2023-03-19,Hawthorn,Essendon,MCG,0.5823,5.62,0.4950,-0.40,-59,True
1415,2023,2023-03-24,Brisbane Lions,Melbourne,Gabba,0.5561,3.74,0.4030,-7.90,11,False
1423,2023,2023-03-30,Western Bulldogs,Brisbane Lions,Marvel Stadium,0.4324,-4.55,0.5960,7.90,14,True
1427,2023,2023-04-01,St Kilda,Essendon,MCG,0.6263,8.97,0.4450,-4.40,18,False
1430,2023,2023-04-02,Melbourne,Sydney,MCG,0.3979,-7.09,0.5090,0.70,50,True
1434,2023,2023-04-08,Adelaide,Fremantle,Adelaide Oval,0.4482,-3.45,0.6260,10.40,39,True
1441,2023,2023-04-13,Adelaide,Carlton,Adelaide Oval,0.4808,-1.25,0.5110,0.90,56,True
1467,2023,2023-04-30,Adelaide,Collingwood,Adelaide Oval,0.4443,-3.72,0.5840,6.80,-1,False
1468,2023,2023-05-05,Carlton,Brisbane Lions,Marvel Stadium,0.4518,-3.20,0.5960,7.80,-26,False
1483,2023,2023-05-13,Carlton,Western Bulldogs,Marvel Stadium,0.4953,-0.30,0.5670,5.40,-20,False
1484,2023,2023-05-14,Adelaide,St Kilda,Adelaide Oval,0.4930,-0.45,0.5320,2.60,52,True
1489,2023,2023-05-20,Fremantle,Geelong,Perth Stadium,0.5199,1.29,0.3990,-8.30,29,False
1512,2023,2023-06-09,Western Bulldogs,Port Adelaide,Marvel Stadium,0.5318,2.08,0.4460,-4.40,-22,True
1515,2023,2023-06-10,Fremantle,Richmond,Perth Stadium,0.5592,3.96,0.4920,-0.60,-15,True
1518,2023,2023-06-12,Melbourne,Collingwood,MCG,0.4842,-1.02,0.5750,6.10,4,True
1521,2023,2023-06-17,GWS Giants,Fremantle,Sydney Showground,0.4035,-6.67,0.6680,14.10,70,True
