matchId,season,date,home,away,venue,p_v3,pred_v3,p_w,pred_w,actual
1198,2022,2022-03-16,Melbourne,Western Bulldogs,MCG,0.6980,15.10,0.5810,6.60,26
1199,2022,2022-03-17,Carlton,Richmond,MCG,0.3623,-9.88,0.3560,-11.90,25
1200,2022,2022-03-18,St Kilda,Collingwood,Marvel Stadium,0.6977,15.07,0.5860,7.00,-17
1201,2022,2022-03-19,Geelong,Essendon,MCG,0.6712,12.70,0.5920,7.50,66
1202,2022,2022-03-19,GWS Giants,Sydney,Accor Stadium,0.5211,1.37,0.4740,-2.10,-20
1203,2022,2022-03-19,Brisbane Lions,Port Adelaide,Gabba,0.5983,6.81,0.7230,19.10,11
1204,2022,2022-03-20,Hawthorn,North Melbourne,MCG,0.5606,4.06,0.6890,15.90,20
1205,2022,2022-03-20,Adelaide,Fremantle,Adelaide Oval,0.6492,10.83,0.6730,14.50,-1
1206,2022,2022-03-20,West Coast,Gold Coast,Perth Stadium,0.5676,4.56,0.6580,13.20,-27
1207,2022,2022-03-24,Western Bulldogs,Carlton,Marvel Stadium,0.8199,28.46,0.6670,13.80,-12
1208,2022,2022-03-25,Sydney,Geelong,SCG,0.5312,2.04,0.4280,-5.80,30
1209,2022,2022-03-26,Collingwood,Adelaide,MCG,0.7046,15.71,0.7080,17.50,42
1210,2022,2022-03-26,Essendon,Brisbane Lions,Marvel Stadium,0.4288,-4.81,0.2970,-17.00,-22
1211,2022,2022-03-26,Port Adelaide,Hawthorn,Adelaide Oval,0.7729,22.71,0.6020,8.30,-64
1212,2022,2022-03-26,Gold Coast,Melbourne,Carrara,0.1857,-27.73,0.2140,-25.40,-13
1213,2022,2022-03-27,North Melbourne,West Coast,Marvel Stadium,0.7309,18.26,0.5370,2.90,15
1214,2022,2022-03-27,Richmond,GWS Giants,MCG,0.4826,-1.13,0.4680,-2.60,36
1215,2022,2022-03-27,Fremantle,St Kilda,Perth Stadium,0.4799,-1.30,0.5540,4.30,-10
1216,2022,2022-03-31,Western Bulldogs,Sydney,Marvel Stadium,0.5601,4.02,0.5750,6.10,11
1218,2022,2022-04-01,Melbourne,Essendon,MCG,0.8399,31.24,0.7860,25.30,29
1217,2022,2022-04-01,Adelaide,Port Adelaide,Adelaide Oval,0.3557,-10.43,0.3830,-9.50,4
1219,2022,2022-04-02,GWS Giants,Gold Coast,Sydney Showground,0.6481,10.74,0.6210,9.80,26
1220,2022,2022-04-02,Collingwood,Geelong,MCG,0.3969,-7.17,0.3420,-13.00,-13
1221,2022,2022-04-02,Brisbane Lions,North Melbourne,Gabba,0.8753,36.85,0.9290,46.90,108
1222,2022,2022-04-03,Carlton,Hawthorn,MCG,0.5520,3.46,0.4500,-4.00,1
1223,2022,2022-04-03,St Kilda,Richmond,Marvel Stadium,0.6291,9.19,0.6550,12.80,33
1224,2022,2022-04-03,West Coast,Fremantle,Perth Stadium,0.5763,5.19,0.5170,1.40,-55
1225,2022,2022-04-07,Port Adelaide,Melbourne,Adelaide Oval,0.2832,-16.87,0.2460,-21.90,-32
1226,2022,2022-04-08,Geelong,Brisbane Lions,Kardinia Park,0.4802,-1.28,0.4610,-3.10,10
1227,2022,2022-04-09,Sydney,North Melbourne,SCG,0.8116,27.38,0.9090,42.60,11
1228,2022,2022-04-09,Collingwood,West Coast,Marvel Stadium,0.7584,21.11,0.8120,28.30,-13
1229,2022,2022-04-09,Richmond,Western Bulldogs,MCG,0.3603,-10.05,0.3230,-14.70,38
1230,2022,2022-04-09,Fremantle,GWS Giants,Perth Stadium,0.5359,2.36,0.6110,9.00,34
1231,2022,2022-04-10,Essendon,Adelaide,Marvel Stadium,0.6231,8.72,0.6060,8.60,4
